Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2025-06-13,Credit card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,"A XXXX XXXX card was opened under my name by a fraudster. I received a notice from XXXX  that an account was just opened under my name. I reached out to XXXX XXXX to state that this activity was unauthorized and not me. XXXX XXXX confirmed this was fraudulent and immediately closed the card. However, they have failed to remove this from the three credit agencies and this fraud is now impacting my credit score based on a hard credit pull done by XXXX XXXX that was done by a fraudster.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,78230,Servicemember,Consent provided,Web,2025-06-13,Closed with non-monetary relief,Yes,,14069121
2025-06-13,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"I made the mistake of using my wellsfargo debit card to depsit funds Into XXXXXXXX ATM machine outside their branch. 

I went into the branch and was told they couldn't help and had to phone the customer service for help. I did this and was told I was helped gave all the info for the time terminal id aact # s, XXXX was able to find the transaction and give me this info, he said the dispute would take a few days. 

I waited a few days and got a letter stating my dispute was rejected. I went back into XXXX and they said they never got the transaction.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,ID,83815,,Consent provided,Web,2025-06-13,Closed with explanation,Yes,,14061897
2025-06-12,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"Dear CFPB, I have a secured credit card with citibank which is changed to unsecured card and I have been calling n waitting for the check release the secured amount {$2500.00} for rhat credit card. They told me to wait then today they told me someone cashed my check but their system doesnt have info as of who, where and when did it happen!!

I requested a case number but they wont send me any confirmation whatsoever to report to the police.

They told me I have to wait for some form that might be sent to me via mail within 14 days to fill out. I called customer service second time today and their manager told me same thing, no info no help at all! Please help me, it's a big bank but the service is so terrible and lil customer like me can do nothing! Thank so much and look forward for your reply!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,11220,,Consent provided,Web,2025-06-13,Closed with monetary relief,Yes,,14047085
2025-06-12,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Account information incorrect,"I have a Citi rewards cards. The credit balance issued to me was {$8400.00}. I recently moved, which meant my bills would be lowered, which meant I'd have LESS use for my credit cards. So in order to keep my usage in a generally good area I used each of my cards with the intention to pay them down monthly which would result in a boost to my credit score, showing creditors I can pay doen. All of my cards are in good standing. My credit is in good standing. But on the XXXX XXXX XXXX Citi abruptly slashes the balance of my card from {$8400.00} down to {$5400.00} and sends me a message that I have just about reached my credit limit. I contacted them and all they said was consult a letter they emailed on the XXXX. The slashing action was taken the day OF the letter ( XXXX ) and I had no recourse to respond nor was I even aware of this action prior to the notification about reaching my limit, which I received on or about the XXXX of XXXX. This is an egregious act that not only blindsided me but manipulates my account to make it APPEAR that I'm close to reaching the limit, when in fact I was no where near the limit. This could negatively impact my credit score through no fault of my own.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,60067,,Consent provided,Web,2025-06-12,Closed with explanation,Yes,,14040217
2025-06-09,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"b'I am writing to dispute the following charges on my CITI Credit Card Accounts where I have become a victim of identity theft when someone made a purchase without my authorization, I have not made any purchases and have no knowledge of them, I strongly believe the unauthorized transaction are the result of identity theft. An attachment fromXX/XX/XXXXshowing a new address for me is also fraudulent, I do not have or lived in Murfreesboro, TN  XX/XX/XXXX, thats when I became aware of the fraudulent charges. I then started the communications with CITI, XX/XX/XXXXabout the unauthorized fraudulent charge, I also included statements, credit score negative points due to inaccurate charges. After several attempts to clear this matter, it has become apparent that I am being ignored by CITI. I am not sure how to proceed to try and get the right help to clear this matter. I am hoping I have reached the correct CITI group to clear this matter.\n\nAccount Opened: XX/XX/XXXXcredit card number:XX/XX/XXXXn1.\tCharge #1 of XX/XX/XXXX Charge amount was disputed and CITI closed account and mailed a 2nd different account.\nNew CITI credit card replacement: XX/XX/XXXXn XX/XX/XXXXtCharge #2 interest charge and previously monthly payment total: XX/XX/XXXX dollars. Charge amount was disputed and CITI closed account and mailed a 3rd  different account.\nNew CITI credit card replacemenXX/XX/XXXX\tCharge #3 interest charge including previously monthly payment total XX/XX/XXXX\nI have made three (3) phone call attempts to phone numberXX/XX/XXXX between March 4, 2025 thrXX/XX/XXXX to CITI to resolve the unauthorized charges with CITI to no avail. In return CITI has closed the original credit card with the credit card numbers as listed above but has kept transferring the unauthorized charges of the original credit card that was opened on XX/XX/XXXXo the new credit card accounts. CITI needs to remove all charges and credit my account showing a zero balance, I did not make any purchases whatsoever and I should not be responsible for any payments. CITI has turned in a late payment exceeding 30 days to the credit bureau and it has cost me a negative ofXX/XX/XXXX points. I have lost all faith in communicating with CITI by telephone to resolve this issue that is extremely frustrating. I need help to clear this matter.\n\nI am requesting that you immediately remove these charges from my account and credit my account for the total amount ofXX/XX/XXXXdollars. I also request that you investigate these unauthorized transaction and take steps to prevent future fraudulent charges to my account.\n\nI have attached copies of my credit card statement and other documents that support my claim.\n\nPlease send me written confirmation that you have removed the fraudulent charges and credited my account, and also that you have investigated the matter.\n\nThank you for your prompt attention to this matter.'",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,78413,Older American,Consent provided,Web,2025-06-09,Closed with monetary relief,Yes,,13968411
2025-06-09,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,"Although the account had been deemed closed, I continued to make payments towards the dept, however, they requested that I pay XXXX as a minimal payment, which I could not afford, however, I did forward XXXX, dollars per month towards the dept. The problem here however, is that the continued XXXX dollars per month was never included towards the dept. They just very simply kept my monies without applying it towards the overall dept. Their explanation to me was that since I did not forward the latter XXXX, the XXXX dollars served as interest towards the dept. First, there was no practical reason for them to charge me an increase of XXXX, for missing one payment, and at no time had I violated any rule, regular, or policy of agreement, with this creditor. And was consistently paying over the minimal amount initially requested monthly. I want all those XXXX dollar payments accredited to my dept balance! So that this account can be paid off, in a fair and equitable way.",Company believes it acted appropriately as authorized by contract or law,Atlanticus Services Corporation,NY,11212,Older American,Consent provided,Web,2025-06-09,Closed with monetary relief,Yes,,13965746
2025-06-08,Checking or savings account,Checking account,Managing an account,Problem accessing account,"Got locked out of my account because I was trying to link my bank account to my XXXX and called customary service to get my account unlocked. Got told that I needed an account number and or debit card number which I dont have since I cant access my account and the delivery date for card hadnt arrived. So I suggested using my social security number as verification which they agreed. I was told to provide my secret word which I have no recollection of being told to provide at all. I was told that it was my mothers maiden name which I proceeded to provide and was told that it was wrong. Kept trying to provide other forms of ID as proof and was shut down immediately by the customer service rep. Called a few days later after the card was supposed to be shipped to my location ( card was never sent to me till this day ) and requested for a status for when I could receive my card and they refused to provide me with that information because I didnt have sufficient proof of identification spoke with a manager today about this and they didnt even try to help at all and shut me down instantly as well. Now I dont have access to my funds, havent received any debit card from this institution and havent been provided with a solution.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MI,49401,Servicemember,Consent provided,Web,2025-06-08,Closed with explanation,Yes,,13960106
2025-06-11,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,I was trying to log into my account and it would not let me because the company supposedly sent a new credit card. I do not have said credit card. The Citibank system will not let you log into your account. I called to have them clear this and they would not stating that they had to send a new card and it had to be activated before I can get into my account. In the mean time I am paying interest on a balance I can't pay off because I can can't get into the account. There are no physical locations. This company is sham. I will NEVER open another account with them.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,XXXXX,,Consent provided,Web,2025-06-11,Closed with explanation,Yes,,14025020
2025-06-07,Credit card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I received an email in XXXX from my XXXX XXXX XXXX saying that I was late on my Home Depot card account. I immediately called Home Depot and tried to set up a fraudulent charge but they couldnt verify my identity because someone changed everything in their system. Then they sent the verification letter to my home address and I finally was able to do the fraud claim. I had multiple problems with this due to all the misinformation I received from the employees at Citicard and Home Depot. I just was notified that they found my charges weee not fraud and now I am contacting you because this is not right. I received a copy of the receipt showing it was done online for a store in XXXX XXXX Illinois and sent to an address in Illinois. I have lived in Colorado since I opened this Home Depot account and have never lived at the address listed in the receipt or had the email address, address or phone number on this receipt. Please help since they are reporting I am late on my payments to my credit reporting companies.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CO,80128,Servicemember,Consent provided,Web,2025-06-07,Closed with monetary relief,Yes,,13950990
2025-06-07,"Payday loan, title loan, personal loan, or advance loan",Payday loan,Problem with the payoff process at the end of the loan,,"under Idaho state law28-46-413. PAYDAY LOAN BUSINESS PRACTICES. ( 1 ) No licensee or person related to a licensee by common control may have outstanding at any time to a single borrower a loan or loans with an aggregate principal balance exceeding one thousand dollars ( {$1000.00} ), plus allowable fees.

( 2 ) A payday lender shall not make a payday loan that exceeds twenty-five percent ( 25 % ) of the gross monthly income of the borrower when the loan is made.

( 3 ) A payday lender shall obtain income information from a borrower consistent with subsection ( 4 ) of this section not less than once every twelve ( 12 ) months.

( 4 ) A payday lender shall not be in violation of subsection ( 2 ) of this section if the borrower presents evidence of his gross monthly income to the payday lender or represents to the payday lender in writing that the payday loan does not exceed twenty-five percent ( 25 % ) of the borrowers gross monthly income when the loan is made.

( 5 ) No payday loan shall be repaid by the proceeds of another payday loan made by the same licensee or a person related to the licensee by common control.

( 6 ) If the borrowers check is returned unpaid to the licensee from a payor financial institution, the licensee shall have the right to collect charges authorized by section 28-22-105, Idaho Code, provided such charges are disclosed in the loan agreement. A licensee may not charge treble damages. If the borrowers obligation is assigned to any third party for collection, the provisions of this section shall apply to such third party collector.

( 7 ) A licensee, or person required to be licensed pursuant to this part, shall not threaten a borrower with criminal action as a result of any payment deficit.

( 8 ) No licensee, or person required to be licensed pursuant to this part, shall engage in unfair or deceptive acts, practices or advertising in the conduct of a payday loan business.

( 9 ) A licensee may renew a payday loan no more than three ( 3 ) consecutive times, after which the payday loan shall be repaid in full by the borrower. A borrower may enter into a new loan transaction with the licensee at any time after a prior loan to the borrower is completed. A loan secured by a borrowers check is completed when the check is presented or deposited by the licensee or redeemed by the borrower pursuant to section 28-46-412 ( 5 ), Idaho Code.

( 10 ) Other than a borrowers check in a transaction pursuant to section 28-46-412 ( 5 ), Idaho Code, a licensee shall not accept any property, title to property, or other evidence of ownership as collateral for a payday loan.

( 11 ) A licensee may conduct other business at a location where it engages in payday lending unless it carries on such other business for the purpose of evading or violating the provisions of this act.

( 12 ) A borrower may rescind the payday loan at no cost at any time prior to the close of business on the next business day following the day on which the payday loan was made by paying the principal amount of the loan to the licensee in cash or other immediately available funds.

History : [ 28-46-413, added 2003, ch. 182, sec. 1, p. 496 ; am. 2013, ch. 54, sec. 6, p. 117 ; am. 2014, ch. 270, sec. 3, p. 675. ]. failure to follow section 9 of what is stated above has caused me to no be able to pay back said loan I am now getting hounded daily with phone calls demanding I pay and leaving border line hostile sounding messages on my voice mail to day as of XX/XX/XXXX at XXXX XXXX im writing this I was left a voice mail at XXXX XXXX  demanding I call them back they loan is also exceeding the XXXX dollar limit it is over that amount they never originally went trough when I first got the loan to go over income and expenses either all they asked was proof of income and residency and that's it the loans goes over the gross 25 % limit as stated above as well",Company has responded to the consumer and the CFPB and chooses not to provide a public response,QC HOLDINGS INC,ID,83401,,Consent provided,Web,2025-06-07,Closed with explanation,Yes,,13949860
